"sample_name","condition"
"3TC1","3TC"
"3TC2","3TC"
"3TC3","3TC"
"CAS1","CAS"
"CAS2","CAS"
"CAS3","CAS"
"FTC1","FTC"
"FTC2","FTC"
"FTC3","FTC"
"KREB1","KREB"
"KREB2","KREB"
"KREB3","KREB"
"NT1","SEN"
"NT2","SEN"
"NT3","SEN"
"PRO1","PRO"
"PRO2","PRO"
"PRO3","PRO"
"QUI1","QUI"
"QUI2","QUI"
"QUI3","QUI"
